question,answer,category,keywords
What are the symptoms of COVID-19? (example 1),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 1),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 1),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 1),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
What are the benefits of regular exercise? (example 1),"Regular exercise improves cardiovascular health, strengthens muscles, helps maintain weight, and boosts mental health.",Preventive Health,"exercise, benefits, health"
What causes high blood pressure? (example 1),"High blood pressure can be caused by factors like genetics, unhealthy diet, lack of exercise, obesity, stress, and certain medical conditions.",Cardiovascular Health,"hypertension, causes, risk factors"
How to prevent heart disease? (example 1),"Prevention strategies include maintaining a healthy diet, regular exercise, not smoking, limiting alcohol, and managing stress.",Cardiovascular Health,"heart disease, prevention, cardiovascular"
What are the symptoms of diabetes? (example 1),"Common symptoms include increased thirst, frequent urination, extreme fatigue, blurred vision, and slow healing of cuts.",Chronic Conditions,"diabetes, symptoms, early signs"
What are the symptoms of COVID-19? (example 2),"Common symptoms include fever, cough, fatigue, and loss of taste or smell. Severe cases may experience difficulty breathing.",Infectious Diseases,"covid, coronavirus, symptoms"
How to manage diabetes? (example 2),"Diabetes management includes monitoring blood sugar, healthy eating, regular exercise, and medication as prescribed by your doctor.",Chronic Conditions,"diabetes, blood sugar, management"
What is hypertension? (example 2),"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, which can lead to health issues.",Cardiovascular Health,"hypertension, blood pressure, cardiovascular"
How to treat a common cold? (example 2),"Rest, hydration, over-the-counter cold remedies, and symptom management are typical treatments for the common cold.",Common Illnesses,"cold, treatment, remedies"
